Layer,Name,GEOID,DIS_2015-2019,DIW_2015-2019,UNS_2015-2019,PCT-W_2015-2019,PCT-B_2015-2019,PCT-A_2015-2019,INC_2015-2019,PCI_2015-2019,POV_2015-2019,HDX_2015-2019,PMC_2019,PCT-H_2015-2019,POP_2016-2020
,,,"Disability (% of residents), 2015-2019","Ambulatory difficulty (% of residents), 2015-2019","Uninsured rate (% of residents), 2015-2019","Population percentages by demographic group, Non-Hispanic White (% of residents), 2015-2019","Population percentages by demographic group, Non-Hispanic Black (% of residents), 2015-2019","Population percentages by demographic group, Asian (% of residents), 2015-2019","Median household income, 2015-2019","Per capita income, 2015-2019","Poverty rate (% of residents), 2015-2019","Hardship Index (0 [lowest] to 100 [greatest] hardship), 2015-2019","Particulate matter (PM 2.5) concentration (µg/m3), 2019","Population percentages by demographic group, Hispanic or Latino (% of residents), 2015-2019","Population counts by demographic group (count of residents), 2016-2020"
Census tract,Tract 8020.02,17031802002,6.31137941690534,4.17551124691773,3.92532781084822,77.7185942865824,2.03892393549423,10.3968203792096,133915.35535908,56202.5195000703,2.38601323110786,17.0998159183029,9.51394888190718,8.89045307137639,5146.0
Census tract,Tract 8020.03,17031802003,6.19914761720263,3.2932971716389,1.93723363037582,57.0709027508718,1.54978690430066,18.9848895776831,111445.148650148,49987.2848998425,5.26927547462224,37.0,9.52121694,20.6121658271988,2275.0
Census tract,Tract 8020.04,17031802004,10.1130524152107,6.41315519013361,15.0051387461459,55.9554583416186,4.41439650029827,27.1425730761583,39677.1289513964,36295.5675148073,18.9722507708119,70.7,9.568030055,11.7916086697156,5610.0
Census tract,Tract 8021,17031802100,6.52019430336386,5.01970518367125,1.49998733419401,84.6528692334285,0.461597466253252,8.048315970247,160275.007292013,77695.4804349977,5.61026471656588,8.49737138737332,9.48277668028063,1.3280033632348,3555.0
Census tract,Tract 8022,17031802200,6.54191224097637,3.18749836833878,0.754860412702999,92.6806193880739,1.65597266066128,2.16088248848194,133007.446793691,78964.145526168,1.76131982939537,6.39793398138585,9.42604752787331,2.89393801891345,4778.0
Census tract,Tract 8023,17031802300,10.0310615750046,6.23058651562214,2.81381326511968,78.1244331579902,0.580446218030111,14.7106838382006,134461.617160984,96811.5157834025,4.1110908094281,2.2,9.43753272348427,3.33756575367314,5378.0
Census tract,Tract 8024.02,17031802402,12.8019323671498,6.64251207729469,17.2532781228433,50.5772126484859,3.32942947967208,13.518487535553,67434.9963397591,37208.8436744382,16.3601665510062,56.0,9.359348907,29.6135184875356,6333.0
Census tract,Tract 8024.03,17031802403,12.3880597014925,7.08955223880597,4.55223880597015,84.6268656716418,1.04477611940299,7.68656716417911,74792.1199671688,53579.9287473103,3.13432835820895,18.1,9.421219945,5.14925373134328,1356.0
Census tract,Tract 8024.04,17031802404,8.97155361050328,5.81236323851203,21.2253829321663,41.8062441377462,1.56773415516548,14.0962079592657,58807.1353845471,29947.1844539586,15.6181619256017,50.1,9.395639617,42.3020233150208,7413.0
Census tract,Tract 8025.03,17031802503,11.6153602031101,6.29958743256109,7.31513805141225,55.63313233894,0.0,27.6102824500159,86493.9348255285,35418.3556866834,7.28340209457315,42.4,9.45315399190631,9.69533481434465,6971.0
Census tract,Tract 8025.04,17031802504,6.43602929717937,3.49072775440237,8.3216456287985,45.2647503782148,0.786686838124054,9.7125567322239,88530.5088400364,33065.6884136738,6.68536699392239,42.9,9.449406831,42.6021180030257,6627.0
Census tract,Tract 8025.05,17031802505,6.3687490500076,4.59036327709378,22.8150174798602,29.8525611795106,3.73917008663931,14.1206870345037,59908.1582111404,28229.8858448502,18.2780847145488,80.8,9.447981421,50.9499924000608,6335.0
Census tract,Tract 8025.06,17031802506,10.8637684516269,3.27194336279421,19.0582504386295,35.1096995441943,1.53441833144034,13.7729065828772,90858.1267130635,32318.7988193719,7.28981355341172,63.4841279256889,9.41217849194324,46.5947764028357,2541.0
Census tract,Tract 8026.05,17031802605,10.8860390556689,5.8874963567473,4.91110463421743,71.5442452284558,1.96645459803355,22.8744939271255,104765.822311941,52392.9879544799,3.8706871556973,18.1,9.539008197,2.94968189705032,6946.0
Census tract,Tract 8026.07,17031802607,10.4549082202714,3.75099760574621,3.4317637669593,87.6296887470072,2.31444533120511,5.98563447725459,131410.999001752,60807.6450675481,2.55387071029529,17.4,9.541439617,3.19233838786911,1199.0
Census tract,Tract 8026.08,17031802608,12.8466238445872,5.82798057339809,3.27432241892527,86.4327118909603,2.41265862447125,7.17530941563528,70227.8606002795,45171.6359280374,6.26479406659303,29.1,9.549469945,3.11765627447908,6039.0
