Layer,Name,GEOID,PCT-W_2015-2019,PCT-B_2015-2019,PCT-A_2015-2019,PCT-H_2015-2019,HDX_2015-2019,INC_2015-2019,PCI_2015-2019,POV_2015-2019,DIS_2015-2019,DIW_2015-2019,UNS_2015-2019,PMC_2019,POP_2015-2019
,,,"Demographics, Non-Hispanic White (% of residents), 2015-2019","Demographics, Non-Hispanic Black (% of residents), 2015-2019","Demographics, Asian (% of residents), 2015-2019","Demographics, Hispanic or Latino (% of residents), 2015-2019","Hardship Index (score), 2015-2019","Median household income, 2015-2019","Per capita income, 2015-2019","Poverty rate (% of residents), 2015-2019","Disability (% of residents), 2015-2019","Ambulatory difficulty (% of residents), 2015-2019","Uninsured rate (% of residents), 2015-2019","Particulate matter (PM 2.5) concentration (µg/m3), 2019","Population (residents), 2015-2019"
Census tract,Tract 803,17031080300,79.0470372632865,3.54306658521686,9.67216452860925,6.33272245978416,0.1,146562.261097185,122275.055258546,4.58155161881491,1.46609651802077,0.366524129505192,2.42313174506211,9.721329235,4911.0
Census tract,Tract 804,17031080400,30.0161625490649,57.7233895174325,2.47056107134611,4.45624567074579,35.5,43754.5198429424,58347.8455156503,15.7007619487416,11.8910182405911,6.16485800046179,1.63934426229508,9.725114208,4331.0
Census tract,Tract 810,17031081000,62.5304729400293,13.8347147732813,14.6392003900536,8.03266699171136,12.3,68564.6584884314,58180.2524457064,17.5661688599734,14.5752533466783,9.04541473789566,5.71750281496309,9.731375683,8204.0
Census tract,Tract 811,17031081100,68.7142857142857,9.5,8.0,9.52380952380952,2.2,82316.8366645223,85860.6875928925,16.9285714285714,9.88095238095238,4.45238095238095,2.16666666666667,9.716270492,4200.0
Census tract,Tract 812.01,17031081201,77.1598386754405,3.12035661218425,13.8824028868605,5.26427510082785,0.1,100012.755562457,136051.629894186,6.9389649570666,4.52133305030779,2.18637232010189,1.91042241562301,9.707721311,4711.0
Census tract,Tract 812.02,17031081202,85.2800546448087,2.45901639344262,7.17213114754098,2.08333333333333,0.2,144267.933183966,142980.224406043,4.61065573770492,7.34289617486339,2.90300546448087,1.87841530054645,9.69419235,2928.0
Census tract,Tract 813,17031081300,77.6376784720935,3.11514926756907,13.9810865937326,2.87409605043575,7.2,91441.1125357705,93245.3898267486,13.2579269423327,12.9241609493788,7.80641572408678,3.67142592249212,9.713542077,5393.0
Census tract,Tract 814.01,17031081401,81.0701438848921,1.43884892086331,8.22841726618705,3.68705035971223,0.8,84814.8219791921,111103.598216464,12.6368613138686,15.5575539568345,8.27338129496403,3.05755395683453,9.715431967,2224.0
Census tract,Tract 814.02,17031081402,62.8738276411255,4.19394797380995,25.5176075030968,4.83100336223677,0.4,126635.657223985,120026.338117527,11.9801804990267,6.4413378163157,2.12351796142276,0.707839320474252,9.698341803,5651.0
Census tract,Tract 814.03,17031081403,67.0414201183432,2.8284023668639,22.5562130177515,4.87573964497041,0.4,122663.277180062,111136.480401074,11.9171597633136,2.7810650887574,1.12426035502959,0.863905325443787,9.734704098,8450.0
Census tract,Tract 815,17031081500,65.892501658925,2.01282902012829,23.4461402344614,8.27250608272506,0.0,114394.998824286,140413.292575257,8.96950812374805,5.0873700508737,2.01282902012829,1.37137801371378,9.740782787,4521.0
Census tract,Tract 816,17031081600,71.0148514851485,4.67821782178218,16.8811881188119,4.08415841584158,0.1,138606.893853014,118623.011335655,5.86633663366337,1.50990099009901,0.371287128712871,0.717821782178218,9.73953388,4040.0
Census tract,Tract 817,17031081700,69.5240407965032,3.71539582321515,17.7756192326372,5.9009227780476,0.3,107936.301337652,106763.149848045,7.91646430305974,3.98251578436134,1.55415250121418,2.11267605633803,9.75588224,4118.0
Census tract,Tract 818,17031081800,76.2866576034181,2.42765585550592,13.0122353855118,5.35055350553505,0.0,158189.825861266,129380.78928104,3.02971450767139,2.87244401168452,0.555014605647517,1.17818889970789,9.763921858,10298.0
Census tract,Tract 819,17031081900,57.1150097465887,36.9395711500974,3.80116959064327,2.14424951267056,0.5,205955.972226536,121134.785953548,19.1033138401559,11.5009746588694,9.4541910331384,7.30994152046784,9.756909563,1026.0
Census tract,Tract 901,17031090100,76.4035337703049,0.740951838130522,5.35765175263608,11.3992590481619,13.3,104423.211162626,55103.1163956609,3.79025363351382,9.09090909090909,2.82131661442006,2.4508406953548,9.703913661,3509.0
Census tract,Tract 902,17031090200,85.3023690773067,0.249376558603491,2.7431421446384,10.6920199501247,2.2,115175.685529848,70201.3427094656,3.55361596009975,7.09164588528678,3.02369077306733,2.60286783042394,9.742863661,6416.0
Census tract,Tract 903,17031090300,91.7102315160568,0.0,1.7176997759522,3.36071695294996,6.4,115154.471217196,50462.4855032277,2.7736131934033,5.07841672890217,2.3898431665422,1.26960418222554,9.767304645,1339.0
Census tract,Tract 1001,17031100100,77.9396092362345,0.0177619893428064,2.96625222024867,19.0763765541741,34.4,94856.6168726014,57108.9296568247,9.80461811722913,9.02309058614565,3.8898756660746,6.92717584369449,9.738221585,5630.0
Census tract,Tract 1002,17031100200,77.4747030356357,2.61035342425576,3.63689690570465,13.5357090482475,20.1,85723.8552762927,49413.4377426296,9.84791447071224,8.9896099984942,5.78226170757416,0.511971088691462,9.738129235,6819.0
Census tract,Tract 1003,17031100300,80.2204825051925,0.463332800766896,4.84102891835757,10.6566544176386,17.2,83942.9137292309,48573.3509616451,5.85275867851753,17.8846798524975,12.0516258799866,3.05062018102581,9.785944809,6259.0
Census tract,Tract 1004,17031100400,80.1703877790834,0.0587544065804935,1.99764982373678,16.0987074030552,24.3,105763.955722177,43938.0236473746,3.76028202115159,6.75675675675676,4.72972972972973,1.90951821386604,9.801556831,3404.0
Census tract,Tract 1005,17031100500,80.736301369863,0.291095890410959,2.99657534246575,9.40068493150685,25.2,82677.4799795914,44669.9174338384,5.35528596187175,11.9178082191781,5.23972602739726,1.18150684931507,9.835369945,5840.0
Census tract,Tract 1006,17031100600,66.8405676126878,1.25208681135225,7.57512520868114,23.0175292153589,26.3,82537.465516094,39723.8004392289,8.49017147636972,11.8113522537563,5.25876460767947,5.82220367278798,9.805222404,4792.0
Census tract,Tract 1007,17031100700,76.023166023166,0.193050193050193,6.06177606177606,16.9305019305019,15.9,91171.6907651013,42822.1508019255,3.70656370656371,9.07335907335907,5.42471042471042,8.16602316602317,9.814339891,5180.0
Census tract,Tract 1101,17031110100,66.7754805948495,0.979325353645266,7.3449401523395,22.9597388465724,45.5,82537.465516094,36003.8707158544,9.93833877402974,7.72578890097933,3.33696046427276,5.4588320638375,9.729143989,5514.0
Census tract,Tract 1102,17031110200,66.3327948303716,1.35702746365105,11.8901453957997,20.4200323101777,35.6,90663.6079771068,41985.2461678387,7.49596122778675,9.98384491114701,4.74959612277867,8.33602584814216,9.76623306,3095.0
Census tract,Tract 1103,17031110300,66.6666666666667,0.206340273869818,6.64040517726505,23.2226599137122,41.1,87651.1755806473,37045.4934670245,13.0557118739448,11.9677358844494,8.6850497092478,8.62877508910148,9.787105191,5331.0
Census tract,Tract 1104,17031110400,59.4942134590656,0.471495927989713,9.06558079725675,26.9609944277754,33.9,73185.1357838461,38784.0063887841,8.19387089763095,8.37976853836262,5.25075010715817,11.7873981997428,9.77256694,4666.0
Census tract,Tract 1105.01,17031110501,54.2926920909262,0.770242344542551,16.1375164380988,27.6723652075897,37.0,89389.6885024069,35624.1345193993,7.72727272727273,9.05496987951807,4.23569277108434,9.2808734939759,9.749101913,5323.0
Census tract,Tract 1105.02,17031110502,58.8975937325126,3.44152210408506,6.46334639059877,26.2730833799664,23.8,65928.7801415293,37235.3615652521,10.576385002798,11.0240626748741,6.96698377168439,9.37325125909345,9.769714481,3574.0
Census tract,Tract 1201,17031120100,80.8802308802309,0.288600288600289,3.22270322270322,13.973063973064,9.1,148942.506976641,60837.3451052597,1.82780182780183,9.52380952380952,4.37710437710438,3.31890331890332,9.685052459,4158.0
Census tract,Tract 1202,17031120200,73.5185587149989,3.08226611677881,10.0933362274799,10.5491643151726,13.0,131098.087890148,62028.5287606202,5.94747123941828,9.29021054916432,4.68851747341003,3.03885391795094,9.687754372,4607.0
Census tract,Tract 1203,17031120300,72.1561230412072,0.856065002901915,12.6088218224028,11.2449216482879,26.9,135212.603828834,58347.8455156503,4.84619849100406,8.85084155542658,3.74347069065583,3.61288450377249,9.684352732,6892.0
Census tract,Tract 1204,17031120400,51.0330024148108,0.482962167963509,16.1792326267776,29.2728736248994,24.2,105335.426606624,41571.5670711418,6.69534821188492,10.0885430641266,2.52213576603166,7.2980949825597,9.734779781,3727.0
Census tract,Tract 1301,17031130100,54.4280097360045,3.48249391499719,29.8258753042501,10.2040816326531,76.4,50781.7609086271,34316.2721444575,14.1627543035994,18.9681923972071,12.6842513576416,6.92397207137316,9.635203825,5341.0
Census tract,Tract 1302,17031130200,56.5881604073838,0.954805856142584,15.404201145767,23.4882240611076,17.5,80481.7986202001,49660.5844850152,4.72239948947033,12.7943984723106,8.14767663908339,2.6098026734564,9.711756284,1571.0
Census tract,Tract 1303,17031130300,44.4908331820657,4.02976946814304,27.0648030495553,20.7478671265202,80.7,62395.5363694847,27915.9140176135,20.1928324540659,12.9424577963333,8.18660373933563,13.2873479760392,9.637503552,5509.0
Census tract,Tract 1401,17031140100,31.6530995616781,13.8384470882905,11.9286161552912,40.5760801502818,76.6,57696.5661172608,26704.5767652344,18.0651221039449,8.54727614276769,3.56919223544145,17.59549154665,9.665120765,3194.0
Census tract,Tract 1402,17031140200,32.7141541295671,5.32698802579061,17.7463923856309,42.6619588578446,82.0,49600.1236939595,21673.6025200204,26.3366336633663,10.4998428167243,5.24992140836215,21.0782772712983,9.704146448,6514.0
Census tract,Tract 1403.01,17031140301,13.983797111659,2.00774920746742,22.6135963367383,60.7256076083128,93.8,53743.2789547239,20469.6902770691,20.8791208791209,7.3617470940472,5.49489256780557,31.3138429024304,9.717817486,2839.0
Census tract,Tract 1403.02,17031140302,34.9725471472905,5.44282645022678,16.376223442349,34.208641680592,72.5,80390.5770758003,30806.3641163291,13.5254413291796,7.49542961608775,5.14494646121703,12.9798903107861,9.716743716,4189.0
Census tract,Tract 1404,17031140400,47.0893275342924,0.434928069588491,12.0608899297424,37.3201739712278,41.3,73404.7039197853,36817.439606025,7.96252927400468,8.23017731682837,4.68384074941452,9.2338574774172,9.737604645,5978.0
Census tract,Tract 1405,17031140500,32.5255102040816,5.53571428571429,20.6377551020408,39.515306122449,70.1,70874.8971361388,30280.2491625812,8.97959183673469,11.9856887298748,3.91004344492717,20.189113212369,9.741977049,3920.0
Census tract,Tract 1406.01,17031140601,22.9036729036729,11.3998613998614,24.0817740817741,40.990990990991,74.3,46658.7592448812,23581.829942989,14.7140864714086,9.56340956340956,6.41025641025641,26.2993762993763,9.729430328,2886.0
Census tract,Tract 1406.02,17031140602,22.9062562462523,5.69658205076954,13.5118928642814,53.8277033779732,72.2,71319.3369861798,31351.571951463,26.027120016191,10.3724469363236,5.54665598718462,16.4197036443733,9.723845902,5003.0
Census tract,Tract 1407.01,17031140701,23.8771466314399,5.31704095112285,18.3619550858653,47.886393659181,64.0,75443.3993655582,32379.4053994099,11.6248348745046,5.81241743725231,3.69881109643329,22.8533685601057,9.696572678,3028.0
Census tract,Tract 1407.02,17031140702,24.8384903094186,3.11118667120027,4.86229173750425,63.685821149269,74.5,61211.777723552,30499.8172985204,18.2036750815731,9.60519569304392,5.74260810117929,21.5518714749615,9.717835792,5882.0
Census tract,Tract 1408,17031140800,46.3674878393221,2.91856268633297,12.2862074376275,36.3251216067786,28.2,78360.3673550877,47861.6107721999,11.5173387729484,6.79428840420524,1.42789894868979,6.00972854228778,9.678253005,6373.0
Census tract,Tract 1502,17031150200,54.1983748226493,0.528827550625564,7.18431574874242,35.2637688636657,56.7,71728.7732203465,38367.1451451896,16.3236245954693,8.06139558880433,5.55913839803947,9.71236940539146,9.784919672,7753.0
Census tract,Tract 1503,17031150300,55.0114474688375,2.07326380055965,4.22284406003561,33.5410836937166,30.5,82605.3513165776,38320.4736573571,6.9584022389009,8.76367336555584,5.40574917323836,8.44568812007123,9.799603005,7862.0
Census tract,Tract 1504.01,17031150401,59.7270319820737,1.85373803218578,4.58341821144836,27.5616215115095,44.4,66957.6743051088,32592.6092415537,9.55388062741903,11.8965166021593,5.3167651252801,9.41128539417397,9.806831967,4909.0
Census tract,Tract 1504.02,17031150402,59.7589730154572,1.10034058160859,4.7943411055803,30.4689546764475,27.1,93033.2467002374,38920.8387053839,5.56430446194226,9.43149069950223,3.7201991092481,9.22190201729107,9.825087158,3817.0
Census tract,Tract 1505.01,17031150501,59.8770176787087,3.25390725083269,5.35485523955931,26.8255188316679,44.6,80567.7165864371,38784.0063887841,6.4821931847297,11.0171662823469,9.1468101460415,5.68793235972329,9.805631421,3903.0
Census tract,Tract 1505.02,17031150502,58.7923484673888,1.63632173311823,5.4851348236921,33.5561189214105,40.3,67687.4466603075,34688.5833314847,10.1959869342044,10.6706614427287,7.69762618114773,9.84097718368288,9.840771311,4339.0
